Charge Type,Charge Description,row_count,total_value,Major Category,Subcategory,Method
Reroute - Web Request,Reroute - Web Request,9,162.0,Other / Uncategorized,Unclassified,none
Cell Phone 10x5x3,Cell Phone 10x5x3,8,113.68,Other / Uncategorized,Unclassified,none
Missing/Invalid Acct No.,Missing/Invalid Acct No.,8,202.0,Other / Uncategorized,Unclassified,none
ENTRY FEE,ENTRY FEE,8,760.0,Other / Uncategorized,Unclassified,none
Expedited,Expedited,8,233.45,Other / Uncategorized,Unclassified,none
Accessorial,DMS GOVT AIRPORT MINE GAS OIL DLVRY,8,380.0,Other / Uncategorized,Unclassified,none
Uitzonderlijke toeslag  Zakelijk,Uitzonderlijke toeslag  Zakelijk,8,148.27,Other / Uncategorized,Unclassified,none
PROCOMER FEE,PROCOMER FEE,8,387.0,Other / Uncategorized,Unclassified,none
RECH PU AND HOLD,RECH PU AND HOLD,8,400.0,Other / Uncategorized,Unclassified,none
PACSU PACKING SUPPLIES,PACSU PACKING SUPPLIES,8,263.54,Other / Uncategorized,Unclassified,none
Accessorial 1,MERCHANDISE PROCESS,7,235.06,Other / Uncategorized,Unclassified,none
Toeslag afgelegen gebied,Toeslag afgelegen gebied,7,265.3,Other / Uncategorized,Unclassified,none
Vrachtkosten,Vrachtkosten,7,3306.0,Other / Uncategorized,Unclassified,none
CHASSIS,CHASSIS,7,1015.0,Other / Uncategorized,Unclassified,none
"Standard- Small, 13x9x11","Standard- Small, 13x9x11",7,55.93,Other / Uncategorized,Unclassified,none
ITEM 116030 SUB : 4 MACHINES,ITEM 116030 SUB : 4 MACHINES,7,1959.51,Other / Uncategorized,Unclassified,none
Add Stop Car,Add Stop Car,7,270.2,Other / Uncategorized,Unclassified,none
WKND WEEKEND,WKND WEEKEND,7,350.0,Other / Uncategorized,Unclassified,none
HMS US-CANADA BORDER CROSSING,HMS US-CANADA BORDER CROSSING,6,256.25,Other / Uncategorized,Unclassified,none
MANIFEST FEE,MANIFEST FEE,6,216.31,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 105 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 105 MIN,6,964.47,Other / Uncategorized,Unclassified,none
Hazardous Material,Hazardous Material,6,343.5,Other / Uncategorized,Unclassified,none
Clearance Entry Fee,Clearance Entry Fee,6,148.29,Other / Uncategorized,Unclassified,none
ADDL INVOICE,ADDL INVOICE,6,175.0,Other / Uncategorized,Unclassified,none
Metro,Metro,6,89.95,Other / Uncategorized,Unclassified,none
"Standard- Large, 20x20x12","Standard- Large, 20x20x12",6,89.94,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 160 MIN Faucets; Bibcocks;,NMFC 051080-05 70 160 MIN Faucets; Bibcocks;,5,916.71,Other / Uncategorized,Unclassified,none
Dieseltoeslag ,Dieseltoeslag ,5,353.85,Other / Uncategorized,Unclassified,none
Laptop 16x16x4,Laptop 16x16x4,5,111.05,Other / Uncategorized,Unclassified,none
ISF FEE,ISF FEE,5,175.0,Other / Uncategorized,Unclassified,none
Accessorial,DWD DEST DETENTION WITH POWER,5,673.5,Other / Uncategorized,Unclassified,none
PT OTHERS,PT OTHERS,5,16645.9,Other / Uncategorized,Unclassified,none
I SS E,I SS E,5,541.8,Other / Uncategorized,Unclassified,none
Inklaringstoeslag,Inklaringstoeslag,5,22.05,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 170 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 170 MIN,5,795.6,Other / Uncategorized,Unclassified,none
Returns Electronic Label,Returns Electronic Label,5,5.75,Other / Uncategorized,Unclassified,none
Accessorial,SSC ORIG SINGLE SHIPMENT,5,10.0,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 175 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 175 MIN,5,861.94,Other / Uncategorized,Unclassified,none
Not Provided,Not Provided,4,4500.0,Other / Uncategorized,Unclassified,none
Dieseltoeslag,Dieseltoeslag,4,371.91,Other / Uncategorized,Unclassified,none
RECONSIGNMENT CHARGES AT DESTN RECD,RECONSIGNMENT CHARGES AT DESTN RECD,4,984.67,Other / Uncategorized,Unclassified,none
Setup Clearance,Setup Clearance,4,224.0,Other / Uncategorized,Unclassified,none
"Standard- Medium, 16x16x16","Standard- Medium, 16x16x16",4,53.96,Other / Uncategorized,Unclassified,none
Accessorial,Origin Dangerous Goods (DG),4,252.95,Other / Uncategorized,Unclassified,none
Accessorial 4,PERMITS & LICENCES,4,112.0,Other / Uncategorized,Unclassified,none
SS,SS,4,167.18,Other / Uncategorized,Unclassified,none
Accessorial,W&I COR FEE,4,60.0,Other / Uncategorized,Unclassified,none
Accessorial,Destination Transfer Fee,3,822.0,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 95 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 95 MIN,3,530.63,Other / Uncategorized,Unclassified,none
"Standard- Medium, 17x17x7","Standard- Medium, 17x17x7",3,34.47,Other / Uncategorized,Unclassified,none
"Standard- Small, 11x11x11","Standard- Small, 11x11x11",3,23.97,Other / Uncategorized,Unclassified,none
"Standard- Small, 12x12x18","Standard- Small, 12x12x18",3,31.47,Other / Uncategorized,Unclassified,none
Pre-vrijgave bericht toeslag,Pre-vrijgave bericht toeslag,3,57.75,Other / Uncategorized,Unclassified,none
Vrachtkosten ,Vrachtkosten ,3,865.0,Other / Uncategorized,Unclassified,none
UPS Carbon Offsets,UPS Carbon Offsets,3,0.15,Other / Uncategorized,Unclassified,none
"Standard- Small, 12x9x6","Standard- Small, 12x9x6",3,20.97,Other / Uncategorized,Unclassified,none
Std 28x28x28 275 lb Double Wall Boxes,Std 28x28x28 275 lb Double Wall Boxes,3,80.97,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 105 MIN Faucets; Bibcocks;,NMFC 051080-05 70 105 MIN Faucets; Bibcocks;,3,474.87,Other / Uncategorized,Unclassified,none
DRIVER DETENTION AT DEST DETND,DRIVER DETENTION AT DEST DETND,3,638.75,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 100 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 100 MIN,3,545.36,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 110 MIN Faucets; Bibcocks;,NMFC 051080-05 70 110 MIN Faucets; Bibcocks;,3,474.25,Other / Uncategorized,Unclassified,none
Accessorial,PAPERWORK FEE FLAT,3,153.0,Other / Uncategorized,Unclassified,none
Voor U doen laten vervoeren ,Voor U doen laten vervoeren ,3,1335.0,Other / Uncategorized,Unclassified,none
MARKING OR TAGGING CHRG AT DESTN TAGD,MARKING OR TAGGING CHRG AT DESTN TAGD,3,370.0,Other / Uncategorized,Unclassified,none
Advance Fee,Advance Fee,3,8.82,Other / Uncategorized,Unclassified,none
Overlength Article,Overlength Article,3,1485.0,Other / Uncategorized,Unclassified,none
Accessorial,NYC TOLLING DISTRICT CHARGE FLAT,3,27.0,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 155 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 155 MIN,3,504.33,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 190 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 190 MIN,3,490.59,Other / Uncategorized,Unclassified,none
"NMFC 051080-05 Faucets, Bibcocks, 70 170 MIN","NMFC 051080-05 Faucets, Bibcocks, 70 170 MIN",3,449.56,Other / Uncategorized,Unclassified,none
Mailr Smart 10.5x15,Mailr Smart 10.5x15,3,13.739999999999998,Other / Uncategorized,Unclassified,none
Standard Shipment,Standard Shipment,3,430.78,Other / Uncategorized,Unclassified,none
ACTUATORS,ACTUATORS,3,8064.33,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 90 MIN Faucets; Bibcocks;,NMFC 051080-05 70 90 MIN Faucets; Bibcocks;,3,530.63,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 175 MIN Faucets; Bibcocks;,NMFC 051080-05 70 175 MIN Faucets; Bibcocks;,3,449.56,Other / Uncategorized,Unclassified,none
Return To Sender - Web Request,Return To Sender - Web Request,3,54.0,Other / Uncategorized,Unclassified,none
REUSABLE WOODEN CRATES 70 250 MIN,REUSABLE WOODEN CRATES 70 250 MIN,3,474.87,Other / Uncategorized,Unclassified,none
Detention,Detention,3,580.5,Other / Uncategorized,Unclassified,none
ITEM 116030 SUB : 4 MACHINES SYSTEMS,ITEM 116030 SUB : 4 MACHINES SYSTEMS,3,1096.96,Other / Uncategorized,Unclassified,none
WKND WEEKEND PU,WKND WEEKEND PU,3,150.0,Other / Uncategorized,Unclassified,none
Cargo Screening Fee,Cargo Screening Fee,3,574.65,Other / Uncategorized,Unclassified,none
"Standard- Large, 23x17x12","Standard- Large, 23x17x12",3,57.96,Other / Uncategorized,Unclassified,none
REGULATORY FEE,REGULATORY FEE,3,990.83,Other / Uncategorized,Unclassified,none
AES / ACE Fee (Air),AES / ACE Fee (Air),3,75.0,Other / Uncategorized,Unclassified,none
NO SHIPMENT TENDERED,NO SHIPMENT TENDERED,2,194.0,Other / Uncategorized,Unclassified,none
VGM/SOLAS Fee,VGM/SOLAS Fee,2,45.0,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 160 MIN Faucets; Bibcocks; ...,NMFC 051080-05 70 160 MIN Faucets; Bibcocks; ...,2,316.58,Other / Uncategorized,Unclassified,none
D/O FEE,D/O FEE,2,158.62,Other / Uncategorized,Unclassified,none
NWCARB FLAT,NWCARB FLAT,2,190.48,Other / Uncategorized,Unclassified,none
VGM FEE,VGM FEE,2,50.0,Other / Uncategorized,Unclassified,none
CROSS-BORDER ADMINISTRATIVE FEE CUAF,CROSS-BORDER ADMINISTRATIVE FEE CUAF,2,415.5,Other / Uncategorized,Unclassified,none
WOODEN CRATES 70 250 MIN,WOODEN CRATES 70 250 MIN,2,316.58,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 205 MIN Faucets; Bibcocks;,NMFC 051080-05 70 205 MIN Faucets; Bibcocks;,2,291.27,Other / Uncategorized,Unclassified,none
GASTOS SUPLIDOS ADUANA,GASTOS SUPLIDOS ADUANA,2,87.12,Other / Uncategorized,Unclassified,none
INSTAPAK 156240 60 5196 6.85,INSTAPAK 156240 60 5196 6.85,2,711.86,Other / Uncategorized,Unclassified,none
Frg 28x28x28 275 lb Double Wall Boxes,Frg 28x28x28 275 lb Double Wall Boxes,2,69.98,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 120 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 120 MIN,2,236.5,Other / Uncategorized,Unclassified,none
CVO ,CVO ,2,104.4,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 180 MIN Faucets; Bibcocks;,NMFC 051080-05 70 180 MIN Faucets; Bibcocks;,2,276.54,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 180 MIN Faucets; Bibcocks; ...,NMFC 051080-05 70 180 MIN Faucets; Bibcocks; ...,2,291.27,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 165 MIN Faucets; Bibcocks; ...,NMFC 051080-05 70 165 MIN Faucets; Bibcocks; ...,2,316.58,Other / Uncategorized,Unclassified,none
Accessorials,Accessorials,2,586.28,Other / Uncategorized,Unclassified,none
LEGES,LEGES,2,35.4,Other / Uncategorized,Unclassified,none
NMFC 133300-05 MACHINERY; NOI; OR * 65 420 MIN,NMFC 133300-05 MACHINERY; NOI; OR * 65 420 MIN,2,316.58,Other / Uncategorized,Unclassified,none
VRACHTKOSTEN,VRACHTKOSTEN,2,1197.0,Other / Uncategorized,Unclassified,none
PACSU PACKING SUPPLIES UN LABELS,PACSU PACKING SUPPLIES UN LABELS,2,20.0,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 85 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 85 MIN,2,291.27,Other / Uncategorized,Unclassified,none
W&I FEE 1 Each $13.50,W&I FEE 1 Each $13.50,2,27.0,Other / Uncategorized,Unclassified,none
GUARANTEED BY 5PM 005001|010000 FLAT,GUARANTEED BY 5PM 005001|010000 FLAT,2,192.0,Other / Uncategorized,Unclassified,none
CHANGE IN PAYMENT TERMS-PAYOR-SFB CHGIP,CHANGE IN PAYMENT TERMS-PAYOR-SFB CHGIP,2,104.0,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 185 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 185 MIN,2,316.58,Other / Uncategorized,Unclassified,none
Origin Container Drayage,Origin Container Drayage,2,2655.0,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 180 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 180 MIN,2,412.38,Other / Uncategorized,Unclassified,none
CL60 60 416 26.74,CL60 60 416 26.74,2,222.48,Other / Uncategorized,Unclassified,none
Individual Formal Entry,Individual Formal Entry,2,60.03,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 165 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 165 MIN,2,261.19,Other / Uncategorized,Unclassified,none
CL60 60 715 26.74,CL60 60 715 26.74,2,382.38,Other / Uncategorized,Unclassified,none
DDP/DDU SERVICE FEE,DDP/DDU SERVICE FEE,2,120.0,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 160 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 160 MIN,2,372.34,Other / Uncategorized,Unclassified,none
OVER DIM - 264 IN,OVER DIM - 264 IN,2,2674.0,Other / Uncategorized,Unclassified,none
NMFC 156240-00 Liquid; NOI; other 60 5196 6.85,NMFC 156240-00 Liquid; NOI; other 60 5196 6.85,2,711.86,Other / Uncategorized,Unclassified,none
GUARANTEED,GUARANTEED,2,120.0,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 270 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 270 MIN,2,236.5,Other / Uncategorized,Unclassified,none
WKND WEEKEND DEL,WKND WEEKEND DEL,2,100.0,Other / Uncategorized,Unclassified,none
Manifest AMS (Automated System),Manifest AMS (Automated System),2,70.0,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 335 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 335 MIN,2,331.31,Other / Uncategorized,Unclassified,none
DSV Protect,DSV Protect,2,30.0,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 95 MIN Faucets; Bibcocks; ...,NMFC 051080-05 70 95 MIN Faucets; Bibcocks; ...,2,331.31,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 355 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 355 MIN,2,276.54,Other / Uncategorized,Unclassified,none
AWB (Air waybill),AWB (Air waybill),2,36.99,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 155 MIN Faucets; Bibcocks;,NMFC 051080-05 70 155 MIN Faucets; Bibcocks;,2,291.27,Other / Uncategorized,Unclassified,none
APT APPOINTMENT,APT APPOINTMENT,2,102.5,Other / Uncategorized,Unclassified,none
MEDICAL SUPPLIES,MEDICAL SUPPLIES,2,2504.99,Other / Uncategorized,Unclassified,none
"NMFC 051080-05 Faucets, Bibcocks, 70 160 MIN","NMFC 051080-05 Faucets, Bibcocks, 70 160 MIN",2,276.54,Other / Uncategorized,Unclassified,none
"Standard- Large, 20x20x20","Standard- Large, 20x20x20",2,35.98,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 MIN Faucets; Bibcocks; 90,NMFC 051080-05 70 MIN Faucets; Bibcocks; 90,2,276.54,Other / Uncategorized,Unclassified,none
METAL STAMPINGS 50 1000 MIN,METAL STAMPINGS 50 1000 MIN,2,236.5,Other / Uncategorized,Unclassified,none
REUSABLE WOODEN CRATES 70 500 MIN,REUSABLE WOODEN CRATES 70 500 MIN,2,316.58,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 120 MIN Faucets; Bibcocks;,NMFC 051080-05 70 120 MIN Faucets; Bibcocks;,2,316.58,Other / Uncategorized,Unclassified,none
METAL STAMPINGS 50 700 MIN,METAL STAMPINGS 50 700 MIN,2,236.5,Other / Uncategorized,Unclassified,none
DieseltoeslagÂ ,DieseltoeslagÂ ,2,236.65,Other / Uncategorized,Unclassified,none
Dry Ice,Dry Ice,2,17.0,Other / Uncategorized,Unclassified,none
013400 CLOSE OF BUSINESS DELV,013400 CLOSE OF BUSINESS DELV,2,268.0,Other / Uncategorized,Unclassified,none
EUR,EUR,2,110.0,Other / Uncategorized,Unclassified,none
Metro 1 Each $10.00,Metro 1 Each $10.00,2,20.0,Other / Uncategorized,Unclassified,none
SS E,SS E,2,121.28,Other / Uncategorized,Unclassified,none
Returns Declared Value,Returns Declared Value,2,6.72,Other / Uncategorized,Unclassified,none
Returns FDA Clearance,Returns FDA Clearance,2,52.0,Other / Uncategorized,Unclassified,none
Accessorial,DELMARVA PENINSULA ARBITRARY FLAT,2,124.0,Other / Uncategorized,Unclassified,none
Cargo Insurance,Cargo Insurance,2,55.0,Other / Uncategorized,Unclassified,none
Tijdlevering,Tijdlevering,2,150.0,Other / Uncategorized,Unclassified,none
Accessorial,RCD DEST RECONSIGNMENT,2,252.0,Other / Uncategorized,Unclassified,none
Accessorial,OTHER COMMERCIAL LIMITED ACCESS DEL,2,50.0,Other / Uncategorized,Unclassified,none
Accessorial,P/U LIFTGATE FEE,2,50.0,Other / Uncategorized,Unclassified,none
Accessorial,LIFTGATE REQUIRED @P/U FEE,2,50.0,Other / Uncategorized,Unclassified,none
NMFC 133300-03 OR * 125 244 MIN MACHINERY; NOI;,NMFC 133300-03 OR * 125 244 MIN MACHINERY; NOI;,2,316.58,Other / Uncategorized,Unclassified,none
Accessorial,Origin Transfer Fee,2,76.56,Other / Uncategorized,Unclassified,none
TRUCKING FEE,TRUCKING FEE,2,445.0,Other / Uncategorized,Unclassified,none
PRINTED MATERIAL,PRINTED MATERIAL,2,2106.0,Other / Uncategorized,Unclassified,none
Food and Drug Administration Clearance,Food and Drug Administration Clearance,2,58.0,Other / Uncategorized,Unclassified,none
"Fragile- Large, 23x17x12","Fragile- Large, 23x17x12",2,47.98,Other / Uncategorized,Unclassified,none
Accessorial 1,PERMITS & LICENCES,2,56.0,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 90 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 90 MIN,2,331.31,Other / Uncategorized,Unclassified,none
SPECIAL SERVICES (NO ADVANCES) AES,SPECIAL SERVICES (NO ADVANCES) AES,2,40.0,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 404 25.67,NMFC 051080-05 Faucets; Bibcocks; 70 404 25.67,1,103.71,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 256 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 256 MIN,1,173.02,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 415 39.18,NMFC 051080-05 Faucets; Bibcocks; 70 415 39.18,1,162.6,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 260 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 260 MIN,1,173.02,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 3881 34.22,NMFC 051080-05 Faucets; Bibcocks; 70 3881 34.22,1,1328.08,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 444 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 444 MIN,1,158.29,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 310 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 310 MIN,1,118.25,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 450 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 450 MIN,1,158.29,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 400 40.28,NMFC 051080-05 Faucets; Bibcocks; 70 400 40.28,1,161.12,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 470 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 470 MIN,1,118.25,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 73 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 73 MIN,1,173.02,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 298 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 298 MIN,1,158.29,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 345 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 345 MIN,1,118.25,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 279 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 279 MIN,1,158.29,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 655 29.68,NMFC 051080-05 Faucets; Bibcocks; 70 655 29.68,1,194.4,Other / Uncategorized,Unclassified,none
